attribute,weights
Crunchy,"{'00011-07': Decimal('1'), '00059-03': Decimal('1'), '00019-07': Decimal('1'), '00045-03': Decimal('1')}"
Jangly,"{'00020-04': Decimal('1'), '00010-04': Decimal('1')}"
Round,"{'00005-12': Decimal('1'), '00051-12': Decimal('1')}"
Tinny,{}
Light,"{'00011-09': Decimal('1'), '00050-06': Decimal('1'), '00002-06': Decimal('1'), '00060-09': Decimal('1')}"
Hollow,{}
Anemic,"{'00046-05': Decimal('1'), '00047-07': Decimal('1'), '00035-05': Decimal('1'), '00007-07': Decimal('1'), '00052-07': Decimal('1'), '00074-07': Decimal('1'), '00055-05': Decimal('1'), '00068-05': Decimal('1')}"
Dark,{}
Loose,"{'00024-05': Decimal('1'), '00031-05': Decimal('1')}"
Vocal,{}
Thin,"{'00079-02': Decimal('1'), '00054-07': Decimal('1'), '00074-07': Decimal('1'), '00025-07': Decimal('2'), '00045-02': Decimal('1')}"
Sizzling,"{'00039-08': Decimal('1'), '00066-08': Decimal('1')}"
Bell-like,{}
Refined,"{'00058-03': Decimal('1'), '00008-03': Decimal('1')}"
Flabby,"{'00036-06': Decimal('1'), '00014-09': Decimal('1'), '00050-09': Decimal('2'), '00013-06': Decimal('1'), '00039-06': Decimal('1'), '00080-09': Decimal('1'), '00077-06': Decimal('1')}"
Articulate,{}
Artificial,{}
Vibrant,"{'00017-01': Decimal('1'), '00009-01': Decimal('1')}"
Bassy,"{'00011-11': Decimal('1'), '00003-11': Decimal('1')}"
Choked,{}
Balanced,"{'00035-08': Decimal('1'), '00007-05': Decimal('1'), '00032-05': Decimal('1'), '00066-08': Decimal('1')}"
Chimey,{}
Metallic,{}
Big,"{'00004-07': Decimal('1'), '00011-07': Decimal('1'), '00072-05': Decimal('1'), '00053-12': Decimal('1'), '00044-12': Decimal('1'), '00068-05': Decimal('1')}"
Boomy,"{'00060-11': Decimal('1'), '00029-11': Decimal('1'), '00068-03': Decimal('1'), '00039-07': Decimal('1'), '00013-07': Decimal('1'), '00035-03': Decimal('1')}"
Dry,"{'00014-09': Decimal('1'), '00018-09': Decimal('1')}"
Chug,"{'00046-09': Decimal('1'), '00035-09': Decimal('1')}"
Boxy,"{'00076-01': Decimal('1'), '00059-06': Decimal('1'), '00046-01': Decimal('1'), '00021-06': Decimal('1')}"
Lush,"{'00027-07': Decimal('1'), '00036-07': Decimal('1'), '00037-09': Decimal('1'), '00051-09': Decimal('1')}"
Piercing,{}
Grunting,"{'00054-01': Decimal('1'), '00025-02': Decimal('1'), '00080-10': Decimal('1'), '00013-10': Decimal('1'), '00063-01': Decimal('1'), '00053-02': Decimal('1')}"
Warm,{}
Hissing,"{'00054-04': Decimal('1'), '00003-04': Decimal('1')}"
Scooped,"{'00051-07': Decimal('1'), '00003-07': Decimal('1')}"
Hairy,"{'00049-03': Decimal('1'), '00041-03': Decimal('1')}"
Vintage,{}
Delicate,{}
Fuzzy,"{'00031-08': Decimal('1'), '00061-08': Decimal('1')}"
Raw,"{'00053-03': Decimal('1'), '00076-03': Decimal('1')}"
Throaty,{}
Saturated,"{'00012-02': Decimal('1'), '00067-09': Decimal('1'), '00051-09': Decimal('1'), '00028-02': Decimal('1')}"
Icepicky,"{'00028-10': Decimal('1'), '00003-06': Decimal('1'), '00005-11': Decimal('1'), '00010-06': Decimal('1'), '00013-11': Decimal('1'), '00018-10': Decimal('1')}"
Grotty,"{'00025-08': Decimal('1'), '00053-07': Decimal('1'), '00078-08': Decimal('1'), '00034-07': Decimal('1'), '00063-09': Decimal('1'), '00032-06': Decimal('1'), '00062-09': Decimal('1'), '00003-04': Decimal('1'), '00004-06': Decimal('1'), '00003-05': Decimal('1'), '00061-05': Decimal('1'), '00066-05': Decimal('1'), '00080-05': Decimal('1'), '00046-04': Decimal('1')}"
Tight,"{'00054-10': Decimal('1'), '00023-10': Decimal('1')}"
Aggressive,{}
Thick,{}
Pure,"{'00043-08': Decimal('1'), '00065-08': Decimal('1')}"
Chewy,"{'00079-01': Decimal('1'), '00030-03': Decimal('1'), '00006-03': Decimal('1'), '00003-04': Decimal('1'), '00075-04': Decimal('1'), '00015-03': Decimal('1'), '00041-03': Decimal('1'), '00027-01': Decimal('1')}"
Cutting,"{'00066-01': Decimal('1'), '00015-08': Decimal('1'), '00033-08': Decimal('1'), '00061-01': Decimal('1')}"
Detailed,"{'00030-05': Decimal('1'), '00031-05': Decimal('1'), '00042-06': Decimal('1'), '00023-06': Decimal('1')}"
Smokey,"{'00060-08': Decimal('1'), '00044-11': Decimal('1'), '00070-08': Decimal('1'), '00069-11': Decimal('1')}"
Fat,{}
Mellow,"{'00017-05': Decimal('1'), '00036-05': Decimal('1')}"
Strained,{}
Rich,{}
Heavy,{}
Fizzy,"{'00076-12': Decimal('1'), '00035-12': Decimal('1')}"
Flat,{}
Crisp,"{'00010-11': Decimal('1'), '00050-04': Decimal('1'), '00007-08': Decimal('1'), '00045-11': Decimal('1'), '00030-04': Decimal('1'), '00016-08': Decimal('1')}"
Brutal,"{'00046-09': Decimal('1'), '00060-09': Decimal('1')}"
Huge,{}
Raspy,"{'00010-02': Decimal('1'), '00071-02': Decimal('1')}"
Chunky,"{'00037-07': Decimal('1'), '00054-07': Decimal('1')}"
Muted,{}
Crushing,{}
Brittle,{}
Clean,{}
Noisy,"{'00072-08': Decimal('1'), '00006-08': Decimal('1')}"
Muddy,{}
Dynamic,{}
Sweet,{}
Velvety,"{'00041-06': Decimal('1'), '00074-06': Decimal('1')}"
Liquidy,"{'00020-02': Decimal('1'), '00029-02': Decimal('1')}"
Nasal,{}
Sterile,"{'00077-09': Decimal('1'), '00065-08': Decimal('1'), '00040-08': Decimal('1'), '00027-09': Decimal('1')}"
Focused,{}
Sparkly,{}
Dull,{}
Distorted,"{'00042-09': Decimal('1'), '00048-10': Decimal('1'), '00043-10': Decimal('1'), '00050-09': Decimal('1')}"
Thumping,{}
Greasy,"{'00044-03': Decimal('1'), '00060-10': Decimal('1'), '00026-05': Decimal('1'), '00038-11': Decimal('1'), '00018-11': Decimal('1'), '00014-10': Decimal('1'), '00038-03': Decimal('1'), '00067-05': Decimal('1')}"
Clear,{}
Glassy,"{'00023-11': Decimal('1'), '00009-11': Decimal('1')}"
Grind,{}
Edgy,{}
Buzzy,"{'00054-09': Decimal('1'), '00073-09': Decimal('1'), '00066-08': Decimal('1'), '00070-08': Decimal('1')}"
Gritty,"{'00042-01': Decimal('1'), '00068-08': Decimal('1'), '00037-08': Decimal('1'), '00028-01': Decimal('1')}"
Open,"{'00061-02': Decimal('1'), '00019-02': Decimal('1')}"
Dirty,{}
Soft,{}
Shrill,{}
Brilliant,{}
Bright,"{'00074-02': Decimal('1'), '00022-02': Decimal('1')}"
Searing,"{'00067-02': Decimal('1'), '00017-02': Decimal('1'), '00063-05': Decimal('1'), '00052-05': Decimal('1')}"
Sharp,{}
Bold,"{'00005-05': Decimal('1'), '00056-05': Decimal('1')}"
Abrasive,"{'00004-05': Decimal('1'), '00052-05': Decimal('1')}"
Strident,{}
Honky,"{'00015-02': Decimal('1'), '00020-02': Decimal('1')}"
Biting,{}
Twangy,{}
Ringing,"{'00031-05': Decimal('1'), '00019-05': Decimal('1')}"
Airy,{}
Smooth,"{'00052-02': Decimal('1'), '00019-02': Decimal('1')}"
Punchy,"{'00045-04': Decimal('1'), '00069-04': Decimal('1')}"
Compressed,"{'00029-09': Decimal('1'), '00054-09': Decimal('1'), '00052-01': Decimal('1'), '00026-01': Decimal('1')}"
Muffled,"{'00009-10': Decimal('1'), '00078-10': Decimal('1')}"
Full,{}
Harsh,{}
Shimmery,"{'00058-07': Decimal('1'), '00012-09': Decimal('1'), '00044-07': Decimal('1'), '00027-09': Decimal('1')}"
